State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Alabama,1,R+15,Bradley Byrne,R,"88,365","152,308",157,36.7%,63.2%,0.1%,-26.6%,-29.2%,2.6%,"305,780",78.8%,
Alabama,2,R+16,Martha Roby,R,"86,581","138,582",419,38.4%,61.4%,0.2%,-23.1%,-31.7%,8.6%,"287,564",78.4%,
Alabama,3,R+16,Mike Rogers,R,"83,748","147,481",149,36.2%,63.7%,0.1%,-27.5%,-33.0%,5.5%,"291,243",79.4%,
Alabama,4,R+30,Robert Aderholt,R,"46,370","183,958",222,20.1%,79.8%,0.1%,-59.7%,-62.5%,2.8%,"292,861",78.7%,
Alabama,5,R+18,Mo Brooks,R,"100,778","158,373",221,38.9%,61.1%,0.1%,-22.2%,-32.9%,10.7%,"314,679",82.4%,
Alabama,6,R+26,Gary Palmer,R,"85,337","192,227",137,30.7%,69.2%,0.0%,-38.5%,-43.8%,5.3%,"335,943",82.7%,
Alabama,7,D+20,Terri Sewell,D,"184,694",0,"4,147",97.8%,0.0%,2.2%,97.8%,41.2%,N/A,"294,433",64.1%,
Alaska,AL,R+9,Don Young,R,"117,913","136,646","1,067",46.1%,53.5%,0.4%,-7.3%,-14.7%,7.4%,"318,608",80.2%,
Arizona,1,R+2,Tom O'Halleran,D,"142,655","122,173",0,53.9%,46.1%,0.0%,7.7%,-1.1%,8.8%,"289,086",91.6%,
Arizona,2,R+1,Ann Kirkpatrick,D,"158,130","131,058",0,54.7%,45.3%,0.0%,9.4%,4.8%,4.6%,"321,540",89.9%,
Arizona,3,D+13,Raul Grijalva,D,"110,826","62,804",0,63.8%,36.2%,0.0%,27.7%,29.5%,-1.8%,"211,797",82.0%,
Arizona,4,R+21,Paul Gosar,R,"84,099","187,945","3,539",30.5%,68.2%,1.3%,-37.7%,-39.4%,1.7%,"304,185",90.6%,
Arizona,5,R+15,Andy Biggs,R,"119,905","175,372",0,40.6%,59.4%,0.0%,-18.8%,-20.5%,1.7%,"341,437",86.5%,
Arizona,6,R+9,David Schweikert,R,"132,943","164,590",0,44.7%,55.3%,0.0%,-10.6%,-9.8%,-0.8%,"343,997",86.5%,
Arizona,7,D+23,Ruben Gallego,D,"105,100",0,"17,524",85.7%,0.0%,14.3%,85.7%,48.3%,N/A,"167,183",73.3%,
Arizona,8,R+13,Debbie Lesko,R,"128,374","160,653",0,44.4%,55.6%,0.0%,-11.2%,-20.8%,9.6%,"332,767",86.9%,
Arizona,9,D+4,Greg Stanton,D,"149,036","95,538",0,60.9%,39.1%,0.0%,21.9%,15.9%,6.0%,"290,237",84.3%,
Arkansas,1,R+17,Rick Crawford,R,"57,776","138,642","4,576",28.7%,69.0%,2.3%,-40.2%,-34.8%,-5.4%,"260,716",77.1%,
Arkansas,2,R+7,French Hill,R,"115,835","131,848","5,180",45.8%,52.1%,2.0%,-6.3%,-10.7%,4.4%,"306,974",82.4%,
Arkansas,3,R+19,Steve Womack,R,"74,242","148,029","5,977",32.5%,64.9%,2.6%,-32.3%,-31.4%,-0.9%,"292,163",78.1%,
Arkansas,4,R+17,Bruce Westerman,R,"63,647","136,022","4,146",31.2%,66.7%,2.0%,-35.5%,-32.8%,-2.7%,"270,782",75.3%,
California,1,R+11,Doug LaMalfa,R,"113,342","140,667",0,44.6%,55.4%,0.0%,-10.8%,-19.4%,8.6%,"318,397",79.8%,
California,2,D+22,Jared Huffman,D,"164,969","51,975",0,76.0%,24.0%,0.0%,52.1%,45.2%,6.9%,"348,791",62.2%,
California,3,D+5,John Garamendi,D,"104,496","79,168",0,56.9%,43.1%,0.0%,13.8%,12.5%,1.3%,"263,803",69.6%,
California,4,R+10,Tom McClintock,R,"130,624","158,746",0,45.1%,54.9%,0.0%,-9.7%,-14.5%,4.8%,"360,284",80.3%,
California,5,D+21,Mike Thompson,D,"139,983",0,"38,886",78.3%,0.0%,21.7%,78.3%,44.6%,N/A,"306,625",58.3%,
California,6,D+21,Doris Matsui,D,"116,251",0,0,100.0%,0.0%,0.0%,100.0%,44.0%,N/A,"248,121",46.9%,
California,7,D+3,Ami Bera,D,"96,609","81,201",0,54.3%,45.7%,0.0%,8.7%,11.2%,-2.5%,"309,549",57.4%,
California,8,R+9,Paul Cook,R,0,"150,993",0,0.0%,100.0%,0.0%,-100.0%,-15.1%,N/A,"232,930",64.8%,
California,9,D+8,Jerry McNerney,D,"80,279","65,028",0,55.2%,44.8%,0.0%,10.5%,18.2%,-7.7%,"243,453",59.7%,
California,10,EVEN,Josh Harder,D,"97,479","92,678",0,51.3%,48.7%,0.0%,2.5%,3.0%,-0.5%,"243,067",78.2%,
California,11,D+21,Mark DeSaulnier,D,"141,772","52,007",0,73.2%,26.8%,0.0%,46.3%,47.6%,-1.3%,"320,522",60.5%,
California,12,D+37,Nancy Pelosi,D,"264,595","40,333",0,86.8%,13.2%,0.0%,73.5%,76.6%,-3.1%,"362,965",84.0%,
California,13,D+40,Barbara Lee,D,"241,022",0,"31,566",88.4%,0.0%,11.6%,88.4%,79.3%,N/A,"339,391",80.3%,
California,14,D+27,Jackie Speier,D,"120,494","34,928",0,77.5%,22.5%,0.0%,55.1%,58.6%,-3.5%,"298,322",52.1%,
California,15,D+20,Eric Swalwell,D,"160,235","60,128",0,72.7%,27.3%,0.0%,45.4%,44.9%,0.5%,"289,926",76.0%,
California,16,D+9,Jim Costa,D,"69,666","54,015",0,56.3%,43.7%,0.0%,12.7%,21.3%,-8.6%,"172,088",71.9%,
California,17,D+25,Ro Khanna,D,"148,695","49,180",0,75.1%,24.9%,0.0%,50.3%,53.2%,-2.9%,"249,775",79.2%,
California,18,D+23,Anna Eshoo,D,"182,749","65,388",0,73.6%,26.4%,0.0%,47.3%,53.2%,-5.9%,"335,138",74.0%,
California,19,D+24,Zoe Lofgren,D,"150,124","54,398",0,73.4%,26.6%,0.0%,46.8%,51.4%,-4.6%,"257,624",79.4%,
California,20,D+23,Jimmy Panetta,D,"150,800",0,"35,953",80.7%,0.0%,19.3%,80.7%,46.8%,N/A,"258,177",72.3%,
California,21,D+5,,,"46,909","49,151",0,48.8%,51.2%,0.0%,-2.3%,15.4%,-17.7%,"134,881",71.2%,
California,22,R+8,Devin Nunes,R,"83,895","97,943",0,46.1%,53.9%,0.0%,-7.7%,-9.3%,1.6%,"243,929",74.5%,
California,23,R+14,Kevin McCarthy,R,"63,656","118,106",0,35.0%,65.0%,0.0%,-30.0%,-21.9%,-8.1%,"246,632",73.7%,
California,24,D+7,Salud Carbajal,D,"124,240","95,388",0,56.6%,43.4%,0.0%,13.1%,19.9%,-6.8%,"316,384",69.4%,
California,25,EVEN,Katie Hill,D,"101,853","91,940",0,52.6%,47.4%,0.0%,5.1%,6.6%,-1.5%,"274,459",70.6%,
California,26,D+7,Julia Brownley,D,"110,804","73,416",0,60.1%,39.9%,0.0%,20.3%,21.4%,-1.1%,"298,769",61.7%,
California,27,D+16,Judy Chu,D,"164,305",0,0,100.0%,0.0%,0.0%,100.0%,37.6%,N/A,"264,466",62.1%,
California,28,D+23,Adam Schiff,D,"156,092","45,572",0,77.4%,22.6%,0.0%,54.8%,49.8%,5.0%,"289,254",69.7%,
California,29,D+29,Tony Cardenas,D,"96,745","24,639",0,79.7%,20.3%,0.0%,59.4%,60.9%,-1.5%,"196,196",61.9%,
California,30,D+18,Brad Sherman,D,"153,728","58,205",0,72.5%,27.5%,0.0%,45.1%,43.4%,1.7%,"302,821",70.0%,
California,31,D+8,Pete Aguilar,D,"92,102","67,214",0,57.8%,42.2%,0.0%,15.6%,21.1%,-5.5%,"228,825",69.6%,
California,32,D+17,Grace Napolitano,D,"94,050","45,474",0,67.4%,32.6%,0.0%,34.8%,38.9%,-4.1%,"220,046",63.4%,
California,33,D+16,Ted Lieu,D,"178,581","79,357",0,69.2%,30.8%,0.0%,38.5%,41.3%,-2.8%,"353,897",72.9%,
California,34,D+35,Jimmy Gomez,D,"84,800",0,"30,726",73.4%,0.0%,26.6%,73.4%,72.8%,N/A,"184,601",62.6%,
California,35,D+19,Norma Torres,D,"84,685","39,500",0,68.2%,31.8%,0.0%,36.4%,40.8%,-4.4%,"188,611",65.8%,
California,36,D+2,Raul Ruiz,D,"81,895","61,049",0,57.3%,42.7%,0.0%,14.6%,8.7%,5.9%,"237,370",60.2%,
California,37,D+37,Karen Bass,D,"165,771","21,219",0,88.7%,11.3%,0.0%,77.3%,76.1%,1.2%,"276,134",67.7%,
California,38,D+17,Linda Sanchez,D,"106,627","51,433",0,67.5%,32.5%,0.0%,34.9%,39.5%,-4.6%,"248,271",63.7%,
California,39,EVEN,,,"104,003","103,062",0,50.2%,49.8%,0.0%,0.5%,8.5%,-8.0%,"274,379",75.5%,
California,40,D+33,Lucille Roybal-Allard,D,"63,540",0,"18,131",77.8%,0.0%,22.2%,77.8%,69.5%,N/A,"164,714",49.6%,
California,41,D+12,Mark Takano,D,"64,400","40,621",0,61.3%,38.7%,0.0%,22.6%,27.9%,-5.3%,"206,961",50.7%,
California,42,R+9,Ken Calvert,R,"62,368","87,976",0,41.5%,58.5%,0.0%,-17.0%,-12.0%,-5.0%,"268,305",56.0%,
California,43,D+29,Maxine Waters,D,"117,215","36,166",0,76.4%,23.6%,0.0%,52.8%,61.7%,-8.9%,"234,060",65.5%,
California,44,D+35,Nanette Barragan,D,"108,760",0,0,100.0%,0.0%,0.0%,100.0%,70.8%,N/A,"197,802",55.0%,
California,45,R+3,Katie Porter,D,"135,237","129,034",0,51.2%,48.8%,0.0%,2.3%,5.4%,-3.1%,"329,144",80.3%,
California,46,D+15,Lou Correa,D,"82,375","39,449",0,67.6%,32.4%,0.0%,35.2%,38.0%,-2.8%,"182,597",66.7%,
California,47,D+13,Alan Lowenthal,D,"110,606","63,814",0,63.4%,36.6%,0.0%,26.8%,31.5%,-4.7%,"259,263",67.3%,
California,48,R+4,Harley Rouda,D,"132,630","118,317",0,52.9%,47.1%,0.0%,5.7%,1.7%,4.0%,"320,018",78.4%,
California,49,R+1,Mike Levin,D,"128,665","104,794",0,55.1%,44.9%,0.0%,10.2%,7.5%,2.7%,"314,717",74.2%,
California,50,R+11,Duncan Hunter,R,"96,223","107,396",0,47.3%,52.7%,0.0%,-5.5%,-15.0%,9.5%,"292,878",69.5%,
California,51,D+22,Juan Vargas,D,"77,459","30,757",0,71.6%,28.4%,0.0%,43.2%,49.0%,-5.8%,"205,852",52.6%,
California,52,D+6,Scott Peters,D,"150,247","87,714",0,63.1%,36.9%,0.0%,26.3%,22.6%,3.7%,"329,258",72.3%,
California,53,D+14,Susan Davis,D,"137,894","65,427",0,67.8%,32.2%,0.0%,35.6%,34.9%,0.7%,"310,373",65.5%,
Colorado,1,D+21,Diana DeGette,D,"270,924","84,898","11,529",73.8%,23.1%,3.1%,50.6%,45.8%,4.8%,"401,981",91.4%,
Colorado,2,D+9,Joe Neguse,D,"255,238","143,823","25,762",60.1%,33.9%,6.1%,26.2%,21.3%,4.9%,"470,864",90.2%,
Colorado,3,R+6,Scott Tipton,R,"144,483","171,218","16,299",43.5%,51.6%,4.9%,-8.1%,-11.9%,3.8%,"377,176",88.0%,
Colorado,4,R+13,Ken Buck,R,"142,421","220,520",0,39.2%,60.8%,0.0%,-21.5%,-23.2%,1.7%,"402,203",90.2%,
Colorado,5,R+14,Doug Lamborn,R,"124,020","181,283","11,479",39.1%,57.2%,3.6%,-18.1%,-23.9%,5.8%,"371,829",85.2%,
Colorado,6,D+2,Jason Crow,D,"186,643","147,904","10,415",54.1%,42.9%,3.0%,11.2%,8.9%,2.3%,"380,530",90.7%,
Colorado,7,D+6,Ed Perlmutter,D,"204,159","119,716","14,007",60.4%,35.4%,4.1%,25.0%,12.1%,12.9%,"371,934",90.8%,
Connecticut,1,D+12,John Larson,D,"175,018","96,019","3,026",63.9%,35.0%,1.1%,28.8%,23.1%,5.7%,"329,238",83.2%,
Connecticut,2,D+3,Joe Courtney,D,"180,159","102,630","6,908",62.2%,35.4%,2.4%,26.8%,2.9%,23.9%,"341,409",84.9%,
Connecticut,3,D+9,Rosa DeLauro,D,"174,173","95,666",0,64.5%,35.5%,0.0%,29.1%,15.5%,13.6%,"322,281",83.7%,
Connecticut,4,D+7,Jim Himes,D,"168,726","106,921",4,61.2%,38.8%,0.0%,22.4%,23.0%,-0.6%,"328,790",83.8%,
Connecticut,5,D+2,Jahana Hayes,D,"151,224","119,426",13,55.9%,44.1%,0.0%,11.7%,4.1%,7.6%,"323,202",83.7%,
Delaware,AL,D+6,Lisa Blunt Rochester,D,"227,353","125,384",0,64.5%,35.5%,0.0%,28.9%,11.4%,17.5%,"442,997",79.6%,x
Florida,1,R+22,Matt Gaetz,R,"106,117","216,118",0,32.9%,67.1%,0.0%,-34.1%,-39.3%,5.2%,"380,098",84.8%,
Florida,2,R+18,Neal Dunn,R,"96,170","199,299",0,32.5%,67.5%,0.0%,-34.9%,-35.6%,0.7%,"354,956",83.2%,
Florida,3,R+9,Ted Yoho,R,"129,810","176,601",0,42.4%,57.6%,0.0%,-15.3%,-16.0%,0.7%,"351,688",87.1%,
Florida,4,R+17,John Rutherford,R,"123,283","248,371","9,468",32.3%,65.2%,2.5%,-32.8%,-28.0%,-4.8%,"421,712",90.4%,
Florida,5,D+12,Al Lawson,D,"180,464","89,783",0,66.8%,33.2%,0.0%,33.6%,25.4%,8.2%,"311,972",86.6%,
Florida,6,R+7,Michael Waltz,R,"145,709","187,860",0,43.7%,56.3%,0.0%,-12.6%,-17.0%,4.4%,"379,798",87.8%,
Florida,7,EVEN,Stephanie Murphy,D,"183,045","134,265",0,57.7%,42.3%,0.0%,15.4%,7.3%,8.1%,"363,186",87.4%,
Florida,8,R+11,Bill Posey,R,"142,356","218,094",0,39.5%,60.5%,0.0%,-21.0%,-20.7%,-0.3%,"401,911",89.7%,
Florida,9,D+5,Darren Soto,D,"172,135","124,548",0,58.0%,42.0%,0.0%,16.0%,12.9%,3.1%,"356,530",83.2%,
Florida,10,D+11,Val Demings,D,0,0,0,100.0%,0.0%,0.0%,100.0%,26.9%,N/A,"315,611",0.0%,
Florida,11,R+15,Dan Webster,R,"128,005","239,358",58,34.8%,65.1%,0.0%,-30.3%,-32.3%,2.0%,"411,005",89.4%,
Florida,12,R+8,Gus Bilirakis,R,"132,810","194,551","7,506",39.7%,58.1%,2.2%,-18.4%,-18.6%,0.2%,"380,363",88.0%,
Florida,13,D+2,Charlie Crist,D,"182,643","134,238",0,57.6%,42.4%,0.0%,15.3%,3.2%,12.1%,"360,760",87.8%,
Florida,14,D+7,Kathy Castor,D,0,0,0,100.0%,0.0%,0.0%,100.0%,18.2%,N/A,"330,427",0.0%,
Florida,15,R+6,Ross Spano,R,"134,076","151,356",20,47.0%,53.0%,0.0%,-6.1%,-10.0%,3.9%,"334,514",85.3%,
Florida,16,R+7,Vern Buchanan,R,"164,357","197,433",0,45.4%,54.6%,0.0%,-9.1%,-10.8%,1.7%,"396,807",91.2%,
Florida,17,R+13,Greg Steube,R,"117,167","193,308",0,37.7%,62.3%,0.0%,-24.5%,-27.2%,2.7%,"353,861",87.7%,
Florida,18,R+5,Brian Mast,R,"156,371","185,878",0,45.7%,54.3%,0.0%,-8.6%,-9.2%,0.6%,"382,476",89.5%,
Florida,19,R+13,Francis Rooney,R,"128,066","211,450",36,37.7%,62.3%,0.0%,-24.6%,-22.1%,-2.5%,"381,184",89.1%,
Florida,20,D+31,Alcee Hastings,D,"202,505",0,165,100.0%,0.0%,0.0%,100.0%,62.1%,N/A,"288,812",70.2%,
Florida,21,D+9,Lois Frankel,D,0,0,0,100.0%,0.0%,0.0%,100.0%,19.5%,N/A,"351,663",0.0%,
Florida,22,D+6,Ted Deutch,D,"184,428","112,989",0,62.0%,38.0%,0.0%,24.0%,15.7%,8.3%,"356,478",83.4%,
Florida,23,D+11,Debbie Wasserman Schultz,D,"161,449","99,362","15,288",58.5%,36.0%,5.5%,22.5%,26.1%,-3.6%,"335,744",82.2%,
Florida,24,D+34,Frederica Wilson,D,0,0,0,100.0%,0.0%,0.0%,100.0%,67.2%,N/A,"266,851",0.0%,
Florida,25,R+4,Mario Diaz-Balart,R,"84,083","128,650",0,39.5%,60.5%,0.0%,-20.9%,-1.9%,-19.0%,"263,235",80.8%,
Florida,26,D+6,Debbie Mucarsel-Powell,D,"119,761","115,663",0,50.9%,49.1%,0.0%,1.7%,16.3%,-14.6%,"289,209",81.4%,
Florida,27,D+5,Donna Shalala,D,"130,671","115,575","6,255",51.8%,45.8%,2.5%,6.0%,19.7%,-13.7%,"299,037",84.4%,
Georgia,1,R+9,Buddy Carter,R,"105,930","144,738",0,42.3%,57.7%,0.0%,-15.5%,-15.5%,0.0%,"269,568",93.0%,
Georgia,2,D+6,Sanford Bishop,D,"136,664","92,470",0,59.6%,40.4%,0.0%,19.3%,11.7%,7.6%,"248,104",92.4%,
Georgia,3,R+18,Drew Ferguson,R,"101,010","191,994",0,34.5%,65.5%,0.0%,-31.1%,-31.6%,0.5%,"311,864",94.0%,
Georgia,4,D+24,Hank Johnson,D,"227,706","61,092",0,78.8%,21.2%,0.0%,57.7%,53.1%,4.6%,"298,663",96.7%,
Georgia,5,D+34,John Lewis,D,"275,394",0,0,100.0%,0.0%,0.0%,100.0%,73.1%,N/A,"305,755",90.1%,
Georgia,6,R+8,Lucy McBath,D,"160,134","156,874",0,50.5%,49.5%,0.0%,1.0%,-1.5%,2.5%,"331,262",95.7%,
Georgia,7,R+9,,,"140,011","140,430",0,49.9%,50.1%,0.0%,-0.1%,-6.4%,6.3%,"294,972",95.1%,
Georgia,8,R+15,Austin Scott,R,0,"198,152",0,0.0%,100.0%,0.0%,-100.0%,-28.9%,N/A,"265,514",74.6%,
Georgia,9,R+31,Doug Collins,R,"57,912","224,661",0,20.5%,79.5%,0.0%,-59.0%,-58.5%,-0.5%,"297,215",95.1%,
Georgia,10,R+15,Jody Hice,R,"112,325","190,389",0,37.1%,62.9%,0.0%,-25.8%,-25.5%,-0.3%,"315,073",96.1%,
Georgia,11,R+17,Barry Loudermilk,R,"118,650","191,885",0,38.2%,61.8%,0.0%,-23.6%,-25.1%,1.5%,"329,312",94.3%,
Georgia,12,R+9,Rick Allen,R,"101,499","148,985",0,40.5%,59.5%,0.0%,-19.0%,-16.2%,-2.8%,"267,675",93.6%,
Georgia,13,D+20,David Scott,D,"223,152","69,759",0,76.2%,23.8%,0.0%,52.4%,44.5%,7.9%,"301,531",97.1%,
Georgia,14,R+27,Tom Graves,R,"53,981","175,743",0,23.5%,76.5%,0.0%,-53.0%,-52.9%,-0.1%,"255,872",89.8%,
Hawaii,1,D+17,Ed Case,D,"134,603","42,480","7,057",73.1%,23.1%,3.8%,50.0%,32.5%,17.5%,"209,300",88.0%,
Hawaii,2,D+19,Tulsi Gabbard,D,"153,132","44,816",0,77.4%,22.6%,0.0%,54.7%,31.8%,22.9%,"219,637",90.1%,
Idaho,1,R+21,Russ Fulcher,R,"96,909","197,151","20,359",30.8%,62.7%,6.5%,-31.9%,-38.3%,6.4%,"359,661",87.4%,
Idaho,2,R+17,Mike Simpson,R,"110,386","170,280",0,39.3%,60.7%,0.0%,-21.3%,-24.7%,3.4%,"330,594",84.9%,
Illinois,1,D+27,Bobby Rush,D,"186,403","50,521","17,050",73.4%,19.9%,6.7%,53.5%,53.2%,0.3%,"329,221",77.1%,
Illinois,2,D+29,Robin Kelly,D,"188,342","44,303",0,81.0%,19.0%,0.0%,61.9%,58.6%,3.3%,"305,228",76.2%,
Illinois,3,D+6,Dan Lipinski,D,"160,501","57,298",605,73.5%,26.2%,0.3%,47.3%,15.4%,31.9%,"286,582",76.2%,
Illinois,4,D+33,Chuy Garcia,D,"142,997","22,187",0,86.6%,13.4%,0.0%,73.1%,68.3%,4.8%,"211,143",78.2%,
Illinois,5,D+20,Mike Quigley,D,"208,455","64,179",0,76.5%,23.5%,0.0%,52.9%,46.0%,6.9%,"331,056",82.4%,
Illinois,6,R+2,Sean Casten,D,"163,057","144,156",0,53.1%,46.9%,0.0%,6.2%,6.8%,-0.6%,"355,920",86.3%,
Illinois,7,D+38,Danny Davis,D,"213,687","30,270",0,87.6%,12.4%,0.0%,75.2%,77.3%,-2.1%,"313,933",77.7%,
Illinois,8,D+8,Raja Krishnamoorthi,D,"127,126","66,215",0,65.8%,34.2%,0.0%,31.5%,21.6%,9.9%,"257,872",75.0%,
Illinois,9,D+18,Jan Schakowsky,D,"211,458","76,611",0,73.4%,26.6%,0.0%,46.8%,44.5%,2.3%,"344,539",83.6%,
Illinois,10,D+10,Brad Schneider,D,"152,837","80,737",0,65.4%,34.6%,0.0%,30.9%,28.9%,2.0%,"293,238",79.7%,
Illinois,11,D+9,Bill Foster,D,"140,907","80,775",0,63.6%,36.4%,0.0%,27.1%,23.3%,3.8%,"282,906",78.4%,
Illinois,12,R+5,Mike Bost,R,"116,985","134,009","7,823",45.2%,51.8%,3.0%,-6.6%,-14.8%,8.2%,"316,371",81.8%,
Illinois,13,R+3,Rodney Davis,R,"131,958","135,680",0,49.3%,50.7%,0.0%,-1.4%,-5.3%,3.9%,"324,539",82.5%,
Illinois,14,R+5,Lauren Underwood,D,"153,777","140,201",0,52.3%,47.7%,0.0%,4.6%,-4.0%,8.6%,"338,514",86.8%,
Illinois,15,R+21,John Shimkus,R,"69,234","177,682",0,28.0%,72.0%,0.0%,-43.9%,-46.2%,2.3%,"320,524",77.0%,
