"State","CD#","2018 Cook PVI Score","2018 Winner","Party","Dem Votes","GOP Votes","Other Votes","Dem %","GOP %","Other %","Dem Margin%","2016 Clinton Margin","Swing vs. 2016 Prez","2016 Total Votes Cast","Raw Votes vs. 2016 ","Final?"
"Illinois","13","R+3","Rodney Davis","R","131,958","135,680","0","49.3%","50.7%","0.0%","-1.4%","-5.3%","3.9%","324,539","82.5%",""
"Illinois","14","R+5","Lauren Underwood","D","142,261","131,819","0","51.9%","48.1%","0.0%","3.8%","-4.0%","7.8%","338,514","81.0%",""
"Illinois","15","R+21","John Shimkus","R","69,234","177,682","0","28.0%","72.0%","0.0%","-43.9%","-46.2%","2.3%","320,524","77.0%",""
"Illinois","16","R+8","Adam Kinzinger","R","100,789","149,205","0","40.3%","59.7%","0.0%","-19.4%","-17.1%","-2.3%","318,212","78.6%",""
"Illinois","17","D+3","Cheri Bustos","D","139,461","86,218","0","61.8%","38.2%","0.0%","23.6%","-0.7%","24.3%","283,713","79.5%",""
"Illinois","18","R+15","Darin LaHood","R","93,330","193,543","0","32.5%","67.5%","0.0%","-34.9%","-27.3%","-7.6%","345,450","83.0%",""
"Indiana","1","D+8","Peter Visclosky","D","121,800","58,903","0","67.4%","32.6%","0.0%","34.8%","12.5%","22.3%","301,431","59.9%",""
"Indiana","2","R+11","Jackie Walorski","R","103,216","125,230","0","45.2%","54.8%","0.0%","-9.6%","-23.0%","13.4%","277,734","82.3%",""
"Indiana","3","R+18","Jim Banks","R","86,420","158,355","0","35.3%","64.7%","0.0%","-29.4%","-34.8%","5.4%","292,911","83.6%",""
"Indiana","4","R+17","Jim Baird","R","83,200","148,603","0","35.9%","64.1%","0.0%","-28.2%","-33.9%","5.7%","304,049","76.2%",""
"Indiana","5","R+9","Susan Brooks","R","126,586","175,768","0","41.9%","58.1%","0.0%","-16.3%","-11.7%","-4.6%","366,635","82.5%",""
"Indiana","6","R+18","Greg Pence","R","73,004","138,557","6,858","33.4%","63.4%","3.1%","-30.0%","-40.2%","10.2%","302,405","84.5%",""
"Indiana","7","D+11","Andre Carson","D","116,673","69,047","0","62.8%","37.2%","0.0%","25.6%","22.5%","3.1%","268,048","69.3%",""
"Indiana","8","R+15","Larry Bucshon","R","86,409","157,209","0","35.5%","64.5%","0.0%","-29.1%","-33.6%","4.5%","301,334","80.8%",""
"Indiana","9","R+13","Trey Hollingsworth","R","100,324","146,699","0","40.6%","59.4%","0.0%","-18.8%","-26.8%","8.0%","326,098","75.8%",""
"Iowa","1","D+1","Abby Finkenauer","D","169,348","152,940","10,228","50.9%","46.0%","3.1%","4.9%","-3.5%","8.4%","395,633","84.0%",""
"Iowa","2","D+1","Dave Loebsack","D","171,054","133,010","8,010","54.8%","42.6%","2.6%","12.2%","-4.1%","16.3%","384,495","81.2%",""
"Iowa","3","R+1","Cindy Axne","D","169,886","164,656","11,976","49.0%","47.5%","3.5%","1.5%","-3.5%","5.0%","402,164","86.2%",""
"Iowa","4","R+11","Steve King","R","146,698","157,221","8,251","47.0%","50.4%","2.6%","-3.4%","-27.1%","23.7%","383,739","81.3%",""
"Kansas","1","R+24","Roger Marshall","R","69,076","149,708","0","31.6%","68.4%","0.0%","-36.9%","-44.8%","7.9%","265,883","82.3%",""
"Kansas","2","R+10","Steve Watkins","R","120,421","124,895","14,402","46.4%","48.1%","5.5%","-1.7%","-18.3%","16.6%","296,810","87.5%",""
"Kansas","3","R+4","Sharice Davids","D","164,253","136,104","7,643","53.3%","44.2%","2.5%","9.1%","1.2%","7.9%","344,468","89.4%",""
"Kansas","4","R+15","Ron Estes","R","93,384","138,856","0","40.2%","59.8%","0.0%","-19.6%","-27.0%","7.4%","276,300","84.1%",""
"Kentucky","1","R+23","James Comer","R","78,849","172,166","0","31.4%","68.6%","0.0%","-37.2%","-48.5%","11.3%","310,384","80.9%",""
"Kentucky","2","R+19","Brett Guthrie","R","79,994","171,700","5,681","31.1%","66.7%","2.2%","-35.6%","-39.9%","4.3%","324,647","79.3%",""
"Kentucky","3","D+6","John Yarmuth","D","172,999","101,929","3,788","62.1%","36.6%","1.4%","25.5%","14.9%","10.6%","340,045","82.0%",""
"Kentucky","4","R+18","Thomas Massie","R","90,533","162,943","8,318","34.6%","62.2%","3.2%","-27.7%","-35.9%","8.2%","337,433","77.6%",""
"Kentucky","5","R+31","Hal Rogers","R","45,965","172,359","0","21.1%","78.9%","0.0%","-57.9%","-62.1%","4.2%","278,451","78.4%",""
"Kentucky","6","R+9","Andy Barr","R","144,730","154,468","3,684","47.8%","51.0%","1.2%","-3.2%","-15.3%","12.1%","333,174","90.9%",""
"Louisiana","1","R+24","Steve Scalise","R","71,499","192,526","5,248","26.6%","71.5%","1.9%","-44.9%","-42.2%","-2.7%","354,783","75.9%",""
"Louisiana","2","D+25","Cedric Richmond","D","190,066","0","45,788","80.6%","0.0%","19.4%","80.6%","52.7%","","329,648","71.5%",""
"Louisiana","3","R+20","Clay Higgins","R","74,710","168,258","2,967","30.4%","68.4%","1.2%","-38.0%","-38.1%","0.1%","343,017","71.7%",""
"Louisiana","4","R+13","Mike Johnson","R","72,923","139,307","4,612","33.6%","64.2%","2.1%","-30.6%","-24.0%","-6.6%","318,392","68.1%",""
"Louisiana","5","R+15","Ralph Abraham","R","67,113","149,010","7,810","30.0%","66.5%","3.5%","-36.6%","-29.4%","-7.2%","323,222","69.3%",""
"Louisiana","6","R+19","Garret Graves","R","76,697","186,502","5,254","28.6%","69.5%","2.0%","-40.9%","-34.1%","-6.8%","353,229","76.0%",""
"Maine","1","D+8","Chellie Pingree","D","198,853","109,714","29,569","58.8%","32.4%","8.7%","26.4%","14.8%","11.6%","394,329","85.7%",""
"Maine","2","R+2","","","129,556","131,466","23,433","45.5%","46.2%","8.2%","-0.7%","-10.3%","9.6%","353,416","80.5%",""
"Maryland","1","R+14","Andy Harris","R","113,050","180,477","5,712","37.8%","60.3%","1.9%","-22.5%","-25.1%","2.6%","367,987","81.3%",""
"Maryland","2","D+11","Dutch Ruppersberger","D","157,764","74,493","4,966","66.5%","31.4%","2.1%","35.1%","21.0%","14.1%","313,406","75.7%",""
"Maryland","3","D+13","John Sarbanes","D","186,207","78,167","6,926","68.6%","28.8%","2.6%","39.8%","30.9%","8.9%","345,565","78.5%",""
"Maryland","4","D+28","Anthony Brown","D","197,439","51,687","4,940","77.7%","20.3%","1.9%","57.4%","57.1%","0.3%","325,668","78.0%",""
"Maryland","5","D+16","Steny Hoyer","D","204,043","80,229","7,014","70.0%","27.5%","2.4%","42.5%","33.8%","8.7%","365,068","79.8%",""
"Maryland","6","D+6","David Trone","D","144,386","98,764","7,343","57.6%","39.4%","2.9%","18.2%","15.4%","2.8%","337,363","74.3%",""
"Maryland","7","D+26","Elijah Cummings","D","188,516","53,637","5,435","76.1%","21.7%","2.2%","54.5%","52.5%","2.0%","323,954","76.4%",""
"Maryland","8","D+14","Jamie Raskin","D","192,854","91,019","4,745","66.8%","31.5%","1.6%","35.3%","33.3%","2.0%","369,004","78.2%",""
"Massachusetts","1","D+12","Richard Neal","D","81,290","0","0","100.0%","0.0%","0.0%","100.0%","20.3%","","344,412","23.6%",""
"Massachusetts","2","D+9","Jim McGovern","D","179,868","86,292","0","67.6%","32.4%","0.0%","35.2%","19.0%","16.2%","357,395","74.5%",""
"Massachusetts","3","D+9","Lori Trahan","D","171,303","92,744","12,473","61.9%","33.5%","4.5%","28.4%","22.5%","5.9%","354,367","78.0%",""
"Massachusetts","4","D+9","Joe Kennedy","D","108,914","0","0","100.0%","0.0%","0.0%","100.0%","23.7%","","388,652","28.0%",""
"Massachusetts","5","D+18","Katherine Clark","D","228,521","72,353","0","76.0%","24.0%","0.0%","51.9%","42.9%","9.0%","379,720","79.2%",""
"Massachusetts","6","D+6","Seth Moulton","D","216,282","104,379","11,244","65.2%","31.4%","3.4%","33.7%","17.6%","16.1%","407,896","81.4%",""
"Massachusetts","7","D+34","Ayanna Pressley","D","190,637","0","2,481","98.7%","0.0%","1.3%","98.7%","71.2%","","306,116","63.1%",""
"Massachusetts","8","D+10","Stephen Lynch","D","162,613","0","1,310","99.2%","0.0%","0.8%","99.2%","25.6%","","389,135","42.1%",""
"Massachusetts","9","D+4","Bill Keating","D","190,213","130,424","0","59.3%","40.7%","0.0%","18.6%","10.6%","8.0%","397,353","80.7%",""
"Michigan","1","R+9","Jack Bergman","R","144,203","185,752","0","43.7%","56.3%","0.0%","-12.6%","-21.3%","8.7%","364,608","90.5%",""
"Michigan","2","R+9","Bill Huizenga","R","131,195","168,843","5,226","43.0%","55.3%","1.7%","-12.3%","-17.3%","5.0%","350,571","87.1%",""
"Michigan","3","R+6","Justin Amash","R","124,981","162,038","7,163","42.5%","55.1%","2.4%","-12.6%","-9.4%","-3.2%","349,707","84.1%",""
"Michigan","4","R+10","John Moolenaar","R","106,539","178,511","0","37.4%","62.6%","0.0%","-25.2%","-24.8%","-0.4%","328,832","86.7%",""
"Michigan","5","D+5","Daniel Kildee","D","164,521","99,269","12,645","59.5%","35.9%","4.6%","23.6%","4.3%","19.3%","327,971","84.3%",""
"Michigan","6","R+4","Fred Upton","R","134,069","147,437","11,923","45.7%","50.2%","4.1%","-4.6%","-8.4%","3.8%","332,772","88.2%",""
"Michigan","7","R+7","Tim Walberg","R","136,410","158,885","0","46.2%","53.8%","0.0%","-7.6%","-17.0%","9.4%","340,831","86.6%",""
"Michigan","8","R+4","Elissa Slotkin","D","172,878","159,804","8,928","50.6%","46.8%","2.6%","3.8%","-6.7%","10.5%","377,432","90.5%",""
"Michigan","9","D+4","Andy Levin","D","181,844","112,309","10,965","59.6%","36.8%","3.6%","22.8%","7.7%","15.1%","355,063","85.9%",""
"Michigan","10","R+13","Paul Mitchell","R","106,098","182,870","14,272","35.0%","60.3%","4.7%","-25.3%","-32.2%","6.9%","357,907","84.7%",""
"Michigan","11","R+4","Haley Stevens","D","179,976","155,331","10,450","52.1%","44.9%","3.0%","7.1%","-4.4%","11.5%","392,959","88.0%",""
"Michigan","12","D+14","Debbie Dingell","D","183,063","74,483","7,855","69.0%","28.1%","3.0%","40.9%","26.2%","14.7%","340,042","78.0%",""
"Michigan","13","D+32","Rashida Tlaib","D","137,495","0","24,685","84.8%","0.0%","15.2%","84.8%","60.6%","","265,457","61.1%",""
"Michigan","14","D+30","Brenda Lawrence","D","204,847","40,803","4,554","81.9%","16.3%","1.8%","65.6%","60.9%","4.7%","318,900","78.5%",""
"Minnesota","1","R+5","Jim Hagedorn","R","144,891","146,202","0","49.8%","50.2%","0.0%","-0.5%","-14.8%","14.3%","343,735","84.7%",""
"Minnesota","2","R+2","Angie Craig ","D","177,971","159,373","0","52.8%","47.2%","0.0%","5.5%","-1.2%","6.7%","381,647","88.4%",""
"Minnesota","3","D+1","Dean Phillips","D","202,402","160,839","0","55.7%","44.3%","0.0%","11.4%","9.4%","2.0%","401,670","90.4%",""
"Minnesota","4","D+14","Betty McCollum","D","216,740","97,723","13,772","66.0%","29.8%","4.2%","36.3%","30.6%","5.7%","367,654","89.3%",""
"Minnesota","5","D+26","Ilhan Omar","D","267,690","74,437","0","78.2%","21.8%","0.0%","56.5%","54.7%","1.8%","374,560","91.3%",""
"Minnesota","6","R+12","Tom Emmer","R","122,333","192,945","0","38.8%","61.2%","0.0%","-22.4%","-25.5%","3.1%","373,920","84.3%",""
"Minnesota","7","R+12","Collin Peterson","D","146,670","134,662","0","52.1%","47.9%","0.0%","4.3%","-30.5%","34.8%","339,286","82.9%",""
"Minnesota","8","R+4","Pete Stauber","R","141,972","159,388","12,768","45.2%","50.7%","4.1%","-5.5%","-15.5%","10.0%","362,341","86.7%",""
"Mississippi","1","R+16","Trent Kelly","R","74,241","154,447","1,611","32.2%","67.1%","0.7%","-34.8%","-33.0%","-1.8%","310,621","74.1%",""
"Mississippi","2","D+14","Bennie Thompson","D","148,977","0","58,319","71.9%","0.0%","28.1%","71.9%","28.4%","","291,419","71.1%",""
"Mississippi","3","R+13","Michael Guest","R","90,193","155,840","2,427","36.3%","62.7%","1.0%","-26.4%","-24.5%","-1.9%","323,862","76.7%",""
"Mississippi","4","R+21","Steven Palazzo","R","56,371","133,805","2,014","29.3%","69.6%","1.0%","-40.3%","-41.1%","0.8%","283,455","67.8%",""
"Missouri","1","D+29","Lacy Clay","D","216,479","45,255","8,641","80.1%","16.7%","3.2%","63.3%","58.0%","5.3%","320,522","84.4%",""
"Missouri","2","R+8","Ann Wagner","R","174,486","190,008","5,899","47.1%","51.3%","1.6%","-4.2%","-10.3%","6.1%","421,541","87.9%",""
"Missouri","3","R+18","Blaine Luetkemeyer","R","106,478","211,000","6,754","32.8%","65.1%","2.1%","-32.2%","-39.0%","6.8%","378,693","85.6%",""
"Missouri","4","R+17","Vicky Hartzler","R","93,861","185,245","6,994","32.8%","64.7%","2.4%","-31.9%","-35.8%","3.9%","341,135","83.9%",""
"Missouri","5","D+7","Emanuel Cleaver","D","173,592","100,695","7,665","61.6%","35.7%","2.7%","25.9%","14.8%","11.1%","327,471","86.1%",""
"Missouri","6","R+16","Sam Graves","R","97,515","199,580","7,859","32.0%","65.4%","2.6%","-33.5%","-32.3%","-1.2%","356,840","85.5%",""
"Missouri","7","R+23","Billy Long","R","88,642","195,872","10,833","30.0%","66.3%","3.7%","-36.3%","-45.5%","9.2%","343,078","86.1%",""
"Missouri","8","R+24","Jason Smith","R","65,043","190,826","4,148","25.0%","73.4%","1.6%","-48.4%","-54.2%","5.8%","318,514","81.6%",""
"Montana","","R+11","Greg Gianforte","R","227,036","251,611","13,951","46.1%","51.1%","2.8%","-5.0%","-20.4%","15.4%","497,119","99.1%",""
"Nebraska","1","R+11","Jeff Fortenberry","R","91,426","140,248","0","39.5%","60.5%","0.0%","-21.1%","-20.7%","-0.4%","282,363","82.0%",""
"Nebraska","2","R+4","Don Bacon","R","114,154","121,466","0","48.4%","51.6%","0.0%","-3.1%","-2.2%","-0.9%","291,680","80.8%",""
"Nebraska","3","R+27","Adrian Smith","R","49,473","162,968","0","23.3%","76.7%","0.0%","-53.4%","-54.2%","0.8%","270,185","78.6%",""
"Nevada","1","D+15","Dina Titus","D","100,643","46,963","4,515","66.2%","30.9%","3.0%","35.3%","29.0%","6.3%","196,841","77.3%",""
"Nevada","2","R+7","Mark Amodei","R","120,091","167,427","0","41.8%","58.2%","0.0%","-16.5%","-12.4%","-4.1%","326,011","88.2%",""
"Nevada","3","R+2","Susie Lee","D","148,436","122,527","15,098","51.9%","42.8%","5.3%","9.1%","-1.0%","10.1%","325,601","87.9%",""
"Nevada","4","D+3","Steven Horsford ","D","121,834","102,484","10,130","52.0%","43.7%","4.3%","8.3%","4.9%","3.4%","276,932","84.7%",""
"New Hampshire","1","R+2","Chris Pappas ","D","155,710","130,955","4,190","53.5%","45.0%","1.4%","8.5%","-1.6%","10.1%","377,574","77.0%",""
"New Hampshire","2","D+2","Annie Kuster","D","155,239","117,957","6,162","55.6%","42.2%","2.2%","13.3%","2.4%","10.9%","366,722","76.2%",""
"New Jersey","1","D+13","Donald Norcross","D","163,948","85,193","5,072","64.5%","33.5%","2.0%","31.0%","24.5%","6.5%","329,187","77.2%",""
"New Jersey","2","R+1","Jeff Van Drew","D","126,420","111,001","4,317","52.3%","45.9%","1.8%","6.4%","-4.6%","11.0%","321,018","75.3%",""
"New Jersey","3","R+2","","","150,311","146,887","3,815","49.9%","48.8%","1.3%","1.1%","-6.2%","7.3%","365,276","82.4%",""
"New Jersey","4","R+8","Chris Smith","R","123,995","159,965","4,209","43.0%","55.5%","1.5%","-12.5%","-14.8%","2.3%","356,593","80.8%",""
"New Jersey","5","R+3","Josh Gottheimer","D","148,021","116,505","3,568","55.2%","43.5%","1.3%","11.8%","-1.1%","12.9%","364,545","73.5%",""
"New Jersey","6","D+9","Frank Pallone","D","135,770","78,570","0","63.3%","36.7%","0.0%","26.7%","15.6%","11.1%","289,650","74.0%",""
"New Jersey","7","R+3","Tom Malinowski","D","158,892","144,802","2,505","51.9%","47.3%","0.8%","4.6%","1.1%","3.5%","371,585","82.4%",""
"New Jersey","8","D+27","Albio Sires","D","105,041","25,621","4,310","77.8%","19.0%","3.2%","58.8%","54.2%","4.6%","229,953","58.7%",""
"New Jersey","9","D+16","Bill Pascrell","D","121,236","50,499","1,462","70.0%","29.2%","0.8%","40.8%","31.2%","9.6%","276,523","62.6%",""
"New Jersey","10","D+36","Donald Payne Jr.","D","166,886","19,632","4,210","87.5%","10.3%","2.2%","77.2%","72.4%","4.8%","274,361","69.5%",""
"New Jersey","11","R+3","Mikie Sherrill","D","162,264","123,156","3,097","56.2%","42.7%","1.1%","13.6%","-0.9%","14.5%","380,521","75.8%",""
"New Jersey","12","D+16","Bonnie Watson Coleman","D","168,253","77,270","0","68.5%","31.5%","0.0%","37.1%","33.2%","3.9%","314,721","78.0%",""
"New Mexico","1","D+7","Deb Haaland","D","145,021","89,297","11,185","59.1%","36.4%","4.6%","22.7%","16.5%","6.2%","285,170","86.1%",""
"New Mexico","2","R+6","Xochitl Torres Small","D","99,440","96,712","0","50.7%","49.3%","0.0%","1.4%","-10.2%","11.6%","234,090","83.8%",""
"New Mexico","3","D+8","Ben R. Lujan","D","154,292","76,129","13,200","63.3%","31.2%","5.4%","32.1%","15.2%","16.9%","279,058","87.3%",""
"New York","1","R+5","Lee Zeldin","R","112,343","130,919","2,756","45.7%","53.2%","1.1%","-7.6%","-12.2%","4.6%","339,160","72.5%",""
"New York","2","R+3","Peter King","R","106,996","122,103","0","46.7%","53.3%","0.0%","-6.6%","-8.9%","2.3%","315,405","72.6%",""
"New York","3","D+1","Tom Suozzi","D","145,060","103,278","0","58.4%","41.6%","0.0%","16.8%","6.1%","10.7%","348,146","71.3%",""
"New York","4","D+4","Kathleen Rice","D","149,078","95,187","0","61.0%","39.0%","0.0%","22.1%","9.5%","12.6%","339,434","72.0%",""
"New York","5","D+37","Gregory Meeks","D","150,112","0","842","99.4%","0.0%","0.6%","99.4%","72.8%","","247,766","60.9%",""
"New York","6","D+16","Grace Meng","D","103,823","0","10,514","90.8%","0.0%","9.2%","90.8%","32.8%","","208,665","54.8%",""
"New York","7","D+38","Nydia Velazquez","D","137,444","0","9,725","93.4%","0.0%","6.6%","93.4%","76.1%","","205,733","71.5%",""
"New York","8","D+36","Hakeem Jeffries","D","166,981","0","10,477","94.1%","0.0%","5.9%","94.1%","70.8%","","256,102","69.3%",""
"New York","9","D+34","Yvette Clarke","D","167,199","19,336","707","89.3%","10.3%","0.4%","79.0%","68.6%","10.4%","255,357","73.3%",""
"New York","10","D+26","Jerrold Nadler","D","146,749","33,931","0","81.2%","18.8%","0.0%","62.4%","58.9%","3.5%","264,801","68.2%",""
"New York","11","R+3","Max Rose","D","95,458","84,665","700","52.8%","46.8%","0.4%","6.0%","-9.8%","15.8%","250,083","72.3%",""
"New York","12","D+31","Carolyn Maloney","D","194,974","27,838","3,319","86.2%","12.3%","1.5%","73.9%","69.0%","4.9%","310,302","72.9%",""
"New York","13","D+43","Adriano Espaillat","D","167,667","9,525","0","94.6%","5.4%","0.0%","89.2%","86.4%","2.8%","253,675","69.9%",""
"New York","14","D+29","Alexandria Ocasio-Cortez","D","100,044","17,762","10,533","78.0%","13.8%","8.2%","64.1%","57.6%","6.5%","195,883","65.5%",""
"New York","15","D+44","Jose E. Serrano","D","112,798","4,647","0","96.0%","4.0%","0.0%","92.1%","88.6%","3.5%","191,894","61.2%",""
"New York","16","D+24","Eliot Engel","D","165,825","0","1,269","99.2%","0.0%","0.8%","99.2%","52.2%","","285,395","58.5%",""
"New York","17","D+7","Nita Lowey","D","157,275","0","21,640","87.9%","0.0%","12.1%","87.9%","20.0%","","321,208","55.7%",""
"New York","18","R+1","Sean Patrick Maloney","D","130,420","106,381","0","55.1%","44.9%","0.0%","10.2%","-2.0%","12.2%","312,199","75.8%",""
"New York","19","R+2","Antonio Delgado","D","132,001","124,428","6,407","50.2%","47.3%","2.4%","2.9%","-6.8%","9.7%","322,826","81.4%",""
"New York","20","D+7","Paul Tonko","D","163,148","83,788","0","66.1%","33.9%","0.0%","32.1%","13.3%","18.8%","329,220","75.0%",""
"New York","21","R+4","Elise Stefanik","R","90,526","122,863","3,211","41.8%","56.7%","1.5%","-14.9%","-13.7%","-1.2%","283,447","76.4%",""
"New York","22","R+6","Anthony Brindisi","D","117,779","116,357","0","50.3%","49.7%","0.0%","0.6%","-15.3%","15.9%","293,033","79.9%",""
"New York","23","R+6","Thomas Reed","R","100,495","122,881","0","45.0%","55.0%","0.0%","-10.0%","-14.7%","4.7%","293,287","76.2%",""
"New York","24","D+3","John Katko","R","114,102","129,276","0","46.9%","53.1%","0.0%","-6.2%","3.6%","-9.8%","310,431","78.4%",""
"New York","25","D+8","Joe Morelle","D","149,993","105,925","0","58.6%","41.4%","0.0%","17.2%","16.2%","1.0%","333,384","76.8%",""
"New York","26","D+11","Brian Higgins","D","157,086","58,128","0","73.0%","27.0%","0.0%","46.0%","19.6%","26.4%","305,135","70.5%",""
"New York","27","R+11","Chris Collins","R","129,594","132,402","5,700","48.4%","49.5%","2.1%","-1.0%","-24.3%","23.3%","348,933","76.7%",""
"North Carolina","1","D+17","G.K. Butterfield","D","188,074","81,486","0","69.8%","30.2%","0.0%","39.5%","37.4%","2.1%","361,229","74.6%",""
"North Carolina","2","R+7","George Holding","R","148,959","167,382","9,427","45.7%","51.4%","2.9%","-5.7%","-11.5%","5.8%","397,196","82.0%",""
"North Carolina","3","R+12","Walter Jones","R","0","186,353","0","0.0%","100.0%","0.0%","-100.0%","-24.0%","","330,774","56.3%",""
"North Carolina","4","D+17","David Price","D","242,002","80,546","11,947","72.3%","24.1%","3.6%","48.3%","40.3%","8.0%","423,656","79.0%",""
"North Carolina","5","R+10","Virginia Foxx","R","118,593","158,495","0","42.8%","57.2%","0.0%","-14.4%","-17.3%","2.9%","362,862","76.4%",""
